timing_group,engagement,sentiment_group,Q_value,completion_minutes
very_slow,low,neutral,5,310.8393223749851
fast,low,neutral,2,-795.6984670971962
fast,low,neutral,4,655.2820108278996
fast,low,neutral,3,204.247637085132
medium,low,neutral,5,319.1423839604964
medium,low,neutral,3,299.50874958775665
fast,low,neutral,5,185.2571569855099
fast,low,neutral,4,612.5821187894625
medium,low,neutral,2,564.3002465994681
fast,low,neutral,2,173.34105605702769
fast,low,neutral,3,1008.4706927913915
very_slow,low,neutral,2,-38.47865673057886
medium,low,neutral,2,784.3493980444763
fast,low,neutral,4,802.1606025341398
medium,low,neutral,4,24.90730507917293
fast,low,neutral,5,668.2977608924193
medium,low,neutral,1,54.82779546034074
very_slow,low,neutral,2,520.3832491954971
fast,low,neutral,2,-341.108123143966
fast,low,neutral,4,132.43145593475367
fast,low,neutral,1,-61.389751819142944
fast,low,neutral,5,260.4416036158232
medium,low,neutral,1,-4.6965162735416754
fast,low,neutral,2,292.7524204130881
very_slow,low,neutral,1,-76.94413336066326
fast,low,neutral,2,1.7789355118365648
very_slow,low,neutral,2,165.9770524483148
fast,low,neutral,3,22.018178031167793
fast,low,neutral,5,-108.58463243004597
fast,low,neutral,3,179.85968212441708
fast,low,neutral,4,-460.87009756984975
fast,low,neutral,2,803.5260155287102
fast,low,neutral,2,151.2054926867607
fast,low,neutral,3,-403.48937261482575
fast,low,neutral,4,-64.19521817642512
fast,low,neutral,2,-65.34623120387288
fast,low,neutral,5,148.8272460165279
medium,low,neutral,2,0.4374574305442849
medium,low,neutral,1,-133.8950373502846
medium,low,neutral,5,354.9060432096938
fast,low,neutral,3,252.6265048503201
fast,low,neutral,2,541.8578575090326
fast,low,neutral,4,285.0221600049394
fast,low,neutral,5,-448.8250262268139
fast,low,neutral,3,212.4510145318493
fast,low,neutral,1,338.5157183607001
fast,low,neutral,3,178.77207041614966
fast,low,neutral,4,-132.97154708965104
fast,low,neutral,5,-431.22857899620857
medium,low,neutral,2,-223.45357239730674
very_slow,low,neutral,4,-351.79700805768687
fast,low,neutral,4,-68.4375446385895
medium,low,neutral,3,-93.36091031532682
fast,low,neutral,4,208.43865153415368
medium,low,neutral,3,80.02527120290256
medium,low,neutral,1,574.0605162433002
fast,low,neutral,2,300.05939836997806
very_slow,low,neutral,3,-350.65077738188114
very_slow,low,neutral,4,279.9114435717404
fast,low,neutral,3,317.55639467944735
fast,low,neutral,4,225.22219409793544
medium,low,neutral,2,749.0924639878353
fast,low,neutral,1,-706.8801192154167
very_slow,low,neutral,5,-78.75891859712412
fast,low,neutral,5,-129.65960790436077
very_slow,low,neutral,3,8.521873003430557
very_slow,low,neutral,4,1015.8436635910466
fast,low,neutral,3,213.9339965168685
fast,low,neutral,5,103.08494998384583
very_slow,low,neutral,5,-481.79035927353465
fast,low,neutral,4,-265.936846445452
fast,low,neutral,4,569.0352857598291
very_slow,low,neutral,2,-185.20234442072285
fast,low,neutral,4,342.90671254960887
medium,low,neutral,3,-302.5081696419417
fast,low,neutral,2,-295.6294032497527
fast,low,neutral,1,-69.83759553449063
fast,low,neutral,4,593.6935750020126
fast,low,neutral,4,-355.21174723686494
fast,low,neutral,2,-402.1249534795118
fast,low,neutral,1,-391.5151940113307
medium,low,neutral,2,-300.15434187792226
fast,low,neutral,2,243.79979713130842
fast,low,neutral,4,-110.48051502711205
very_slow,low,neutral,5,497.7270688162709
medium,low,neutral,4,509.099031035743
fast,low,neutral,5,-164.86596658773323
fast,low,neutral,5,721.0447544650922
fast,low,neutral,2,430.26512345931155
fast,low,neutral,3,636.2481915490187
fast,low,neutral,3,-37.17606356479196
medium,low,neutral,3,-72.33351554952581
fast,low,neutral,4,345.56617312739974
fast,low,neutral,3,359.2563259063013
very_slow,low,neutral,4,258.4580510481461
fast,low,neutral,4,-552.526260168029
fast,low,neutral,3,-230.31451467157052
very_slow,low,neutral,3,366.84004522510986
medium,low,neutral,2,-79.88903326444914
fast,low,neutral,2,-330.3188182282368
medium,low,neutral,3,272.17865900452875
fast,low,neutral,4,412.27886408963417
fast,low,neutral,2,724.1252125554256
very_slow,low,neutral,3,317.2999317288294
fast,low,neutral,3,121.88893449938632
medium,low,neutral,4,-152.1045140419398
fast,low,neutral,1,-102.0403935998
very_slow,low,neutral,5,418.4363962737431
fast,low,neutral,3,-237.99440849447944
very_slow,low,neutral,1,-56.291410511986314
medium,low,neutral,4,450.0694515515363
very_slow,low,neutral,2,255.738924133431
fast,low,neutral,3,-246.92840761389368
very_slow,low,neutral,4,25.375184458757317
very_slow,low,neutral,3,448.4406883473078
fast,low,neutral,5,-135.79596951485286
fast,low,neutral,2,-202.32884633247556
fast,low,neutral,4,-586.7958430934386
very_slow,low,neutral,4,-365.71796177208523
fast,low,neutral,2,-619.4486138263726
fast,low,neutral,4,310.7978500452745
fast,low,neutral,1,430.59682345249934
very_slow,low,neutral,3,-84.15074160760439
fast,low,neutral,4,485.47531589165874
medium,low,neutral,2,107.62801256714799
fast,low,neutral,1,496.0208221467381
fast,low,neutral,4,-8.677841829087399
fast,low,neutral,3,384.4369684568266
fast,low,neutral,2,184.20947872451626
fast,low,neutral,1,-272.5739909020469
fast,low,neutral,5,118.23146547037844
fast,low,neutral,1,514.3297169107162
fast,low,neutral,5,-179.49620690325827
medium,low,neutral,2,740.1176534383585
fast,low,neutral,1,725.8595382563485
fast,low,neutral,3,-23.16481053480753
fast,low,neutral,3,-149.03362816548548
fast,low,neutral,3,317.6701472408587
fast,low,neutral,4,379.06077895662054
fast,low,neutral,2,-110.85188180734507
fast,low,neutral,1,93.5077801677376
fast,low,neutral,4,-539.8854027977846
fast,low,neutral,4,574.2003472359173
fast,low,neutral,2,58.8145602061564
fast,low,neutral,4,80.50678187857154
fast,low,neutral,2,207.11978729844697
fast,low,neutral,3,397.86206377816495
fast,low,neutral,2,803.3391660075519
very_slow,low,neutral,2,45.95001495190333
medium,low,neutral,2,-473.7909921441629
fast,low,neutral,1,50.97959571539908
fast,low,neutral,3,939.3710612813692
fast,low,neutral,4,-533.2645311116227
fast,low,neutral,4,-553.3649843620027
fast,low,neutral,4,33.26811607223577
medium,low,neutral,3,-707.3208606541734
fast,low,neutral,2,410.1495279707238
fast,low,neutral,2,-235.11471371107132
fast,low,neutral,5,-207.19156632849882
fast,low,neutral,4,117.77966800601567
fast,low,neutral,3,-299.40808003722617
fast,low,neutral,3,-74.7435523771883
fast,low,neutral,5,379.0800686219697
medium,low,neutral,2,348.8892316683485
fast,low,neutral,2,-284.3152342925418
fast,low,neutral,1,-100.47538782999241
fast,low,neutral,5,467.51737051669284
fast,low,neutral,5,-10.627432437742343
fast,low,neutral,2,43.60027865199842
fast,low,neutral,1,196.759827352816
medium,low,neutral,2,38.990903938603594
very_slow,low,neutral,1,495.87589212357136
fast,low,neutral,3,-32.06012738321128
fast,low,neutral,2,-48.0967716709997
fast,low,neutral,4,535.3968859894687
fast,low,neutral,2,356.58649837468505
fast,low,neutral,4,-480.02694310016847
fast,low,neutral,1,424.8059831144698
fast,low,neutral,3,866.6621986695845
fast,low,neutral,1,-694.2567590031649
very_slow,low,neutral,2,331.1239911558546
medium,low,neutral,4,456.7074666082764
very_slow,low,neutral,1,528.4059992667086
fast,low,neutral,4,-177.4734480640854
very_slow,low,neutral,5,279.52300913178686
fast,low,neutral,2,-173.5032457879397
fast,low,neutral,4,-14.02761210942056
very_slow,low,neutral,2,181.3900048386775
fast,low,neutral,5,707.8670440262827
very_slow,low,neutral,3,-400.48949834763715
fast,low,neutral,4,346.2892482312416
fast,low,neutral,3,102.78770130728968
medium,low,neutral,1,417.4642984997696
fast,low,neutral,3,383.3549564754693
fast,low,neutral,1,403.88461279066854
fast,low,neutral,5,-702.6065069004279
fast,low,neutral,4,447.22581710762205
fast,low,neutral,2,90.54725859567702
medium,low,neutral,4,618.5623677353815
fast,low,neutral,3,-3.923594230710563
fast,low,neutral,2,244.33711767963206
fast,low,neutral,2,743.7127218521413
fast,low,neutral,4,-259.1983228297006
fast,low,neutral,3,-132.96524459377883
fast,low,neutral,2,358.14871846432925
very_slow,low,neutral,2,-9.047851196277762
medium,low,neutral,4,-91.80521729176995
fast,low,neutral,2,1015.0393499289102
fast,low,neutral,5,232.52704987288863
fast,low,neutral,5,160.48037090456046
fast,low,neutral,5,-119.61228112412336
fast,low,neutral,1,-407.63087773461615
fast,low,neutral,5,35.033637901588335
very_slow,low,neutral,3,155.25285866298802
medium,low,neutral,2,315.38069215135374
fast,low,neutral,4,371.4412548477023
fast,low,neutral,5,100.1883287750463
fast,low,neutral,2,105.35092166019953
fast,low,neutral,3,-199.62846862004204
fast,low,neutral,2,-95.20912571848977
fast,low,neutral,4,292.3663341223785
fast,low,neutral,4,-68.32657102402659
fast,low,neutral,2,489.41279913159735
fast,low,neutral,4,644.0177148817305
fast,low,neutral,3,157.85181760310508
fast,low,neutral,2,-302.7645378513608
fast,low,neutral,5,192.77347178552674
medium,low,neutral,2,46.72777575618632
fast,low,neutral,4,-136.94610294973495
very_slow,low,neutral,4,102.55033536737012
fast,low,neutral,5,398.41846117449006
medium,low,neutral,1,44.986012839220535
fast,low,neutral,5,437.3541599797853
very_slow,low,neutral,3,465.9380493092638
fast,low,neutral,5,-251.72765937471797
fast,low,neutral,1,916.9549174842233
very_slow,low,neutral,5,-143.0922894179148
fast,low,neutral,3,876.7738259904048
medium,low,neutral,4,206.25400312352286
medium,low,neutral,1,-66.13332415259664
medium,low,neutral,4,965.5477697243304
fast,low,neutral,3,-91.2398389927264
fast,low,neutral,4,330.6429553310061
fast,low,neutral,1,279.85840780562506
fast,low,neutral,5,-604.8531971936849
medium,low,neutral,3,-285.8283165162161
fast,low,neutral,4,-113.49942297475378
fast,low,neutral,2,80.77128919127968
fast,low,neutral,4,560.0100220963571
medium,low,neutral,3,711.605310919434
very_slow,low,neutral,4,-467.69264273619893
fast,low,neutral,2,97.10724945074628
fast,low,neutral,1,-260.3037252455074
medium,low,neutral,4,268.2041503307632
medium,low,neutral,3,854.5982153884744
very_slow,low,neutral,1,-123.66610506823686
fast,low,neutral,5,606.0938662609071
fast,low,neutral,2,883.4478717448033
medium,low,neutral,2,474.99156549132954
fast,low,neutral,3,-82.1567735045591
fast,low,neutral,2,702.5299302189821
fast,low,neutral,1,229.9423307916254
very_slow,low,neutral,2,182.73993323539943
fast,low,neutral,2,-111.82206189625533
fast,low,neutral,3,-350.23733533994164
fast,low,neutral,5,-66.5053120364664
medium,low,neutral,3,385.09092534919955
medium,low,neutral,3,-415.4654175340283
fast,low,neutral,5,861.132713641543
medium,low,neutral,2,-300.6924586221083
fast,low,neutral,2,-5.107416145545955
medium,low,neutral,5,1130.304442930365
fast,low,neutral,1,290.24978502442303
fast,low,neutral,2,144.66396864253366
fast,low,neutral,4,-354.03736107122756
fast,low,neutral,5,445.0912910354832
medium,low,neutral,2,327.5118100471394
very_slow,low,neutral,3,-299.0777850067581
fast,low,neutral,2,-243.99787682028523
fast,low,neutral,1,-269.17791148667015
fast,low,neutral,3,-218.05592939412696
medium,low,neutral,5,162.70878927969426
medium,low,neutral,4,-54.47149938221263
fast,low,neutral,1,-314.25937914282673
fast,low,neutral,4,286.4192887702031
fast,low,neutral,5,39.228916497122086
medium,low,neutral,2,176.22670307791566
fast,low,neutral,5,200.2155545618131
fast,low,neutral,2,-365.51640470401276
fast,low,neutral,5,556.3667171799358
fast,low,neutral,3,-170.0297486567523
fast,low,neutral,1,-290.17855073657097
medium,low,neutral,4,-53.917468006610264
fast,low,neutral,5,-90.14275483607828
fast,low,neutral,4,662.3783245534015
fast,low,neutral,5,-717.7294004088535
fast,low,neutral,2,243.64800993220484
fast,low,neutral,2,199.0038188028043
fast,low,neutral,4,-277.7923341601814
fast,low,neutral,3,331.86528627990043
fast,low,neutral,3,-44.68118805557246
fast,low,neutral,1,-32.435456228928885
fast,low,neutral,2,176.8319164704988
fast,low,neutral,3,-44.05089645746331
fast,low,neutral,2,-519.1430553419302
medium,low,neutral,5,390.73130308943075
fast,low,neutral,4,243.86304168682113
fast,low,neutral,2,-657.4747249349609
fast,low,neutral,1,-607.2545528448147
fast,low,neutral,1,-311.2315794154184
fast,low,neutral,4,210.69225720743486
fast,low,neutral,3,818.203941814222
very_slow,low,neutral,2,333.57259523605967
fast,low,neutral,5,-228.2813936791585
fast,low,neutral,3,434.8426564747332
fast,low,neutral,1,215.01910136701687
fast,low,neutral,3,460.7376102080501
fast,low,neutral,5,-550.0830724205917
fast,low,neutral,4,202.0629759927204
very_slow,low,neutral,3,689.4286010594383
fast,low,neutral,3,94.19591527622521
fast,low,neutral,4,414.36933010161397
fast,low,neutral,5,396.10441079668294
fast,low,neutral,4,-381.1427430288782
fast,low,neutral,3,-827.1473010924577
fast,low,neutral,2,587.806599525151
fast,low,neutral,3,-514.998149648458
very_slow,low,neutral,5,-32.652896301306086
fast,low,neutral,3,-65.60333357918985
fast,low,neutral,3,313.9285123442723
fast,low,neutral,2,722.2980700632908
fast,low,neutral,4,461.99732547345934
very_slow,low,neutral,1,-230.61302817313998
fast,low,neutral,4,564.5099963074122
fast,low,neutral,5,469.2137103294886
very_slow,low,neutral,1,-375.64480915767837
fast,low,neutral,3,561.9769101758432
very_slow,low,neutral,2,80.45218383770278
fast,low,neutral,5,-95.82752791161293
medium,low,neutral,4,138.61760628080933
very_slow,low,neutral,4,335.3139949695904
fast,low,neutral,2,430.03766282415074
fast,low,neutral,4,-418.9274591190802
medium,low,neutral,4,11.37633236526284
fast,low,neutral,3,751.8607009849513
fast,low,neutral,2,392.77848795865174
fast,low,neutral,2,-38.10814961339442
very_slow,low,neutral,5,-101.21257097582613
medium,low,neutral,3,-481.80124045826307
fast,low,neutral,4,-191.6221942215688
fast,low,neutral,3,122.18519676237308
fast,low,neutral,4,-18.38804651818573
fast,low,neutral,2,39.62838356339047
fast,low,neutral,3,-168.01036457704805
fast,low,neutral,2,-249.19567346063968
very_slow,low,neutral,1,36.99021725467894
fast,low,neutral,2,-214.12840017600615
medium,low,neutral,4,338.0896030928679
fast,low,neutral,4,-59.499550968262625
fast,low,neutral,5,742.5060023196071
medium,low,neutral,3,661.4739195384609
fast,low,neutral,4,144.50021648260056
medium,low,neutral,2,442.2826251407096
fast,low,neutral,1,-64.1492413161311
fast,low,neutral,3,297.55047531136034
medium,low,neutral,3,-186.68589704378593
medium,low,neutral,4,148.68647669959313
fast,low,neutral,3,-272.2918025718356
medium,low,neutral,3,-124.07357534502897
fast,low,neutral,4,125.49279433080865
fast,low,neutral,5,182.24900513633088
fast,low,neutral,2,468.5480495621115
fast,low,neutral,4,-271.0651254402688
fast,low,neutral,3,158.66645822411118
fast,low,neutral,3,577.0587708098066
fast,low,neutral,1,421.52471724912175
fast,low,neutral,4,-3.646144498840087
fast,low,neutral,5,-1.5939750857248924
fast,low,neutral,1,-214.28758839125965
fast,low,neutral,3,-368.72657071442916
fast,low,neutral,5,99.56423921500307
fast,low,neutral,4,319.4535764233722
fast,low,neutral,2,49.246810743034956
fast,low,neutral,2,-787.5457531946339
fast,low,neutral,4,591.1020620753226
medium,low,neutral,3,141.31607355102045
fast,low,neutral,5,-133.97737476181192
fast,low,neutral,2,-474.61965891499784
fast,low,neutral,4,381.3528440663883
very_slow,low,neutral,1,30.563898037150224
very_slow,low,neutral,2,200.22216762420123
fast,low,neutral,2,-338.29742532931556
fast,low,neutral,4,-424.5460708627863
fast,low,neutral,4,283.3629340047782
fast,low,neutral,1,169.79920752893943
medium,low,neutral,2,22.694756676344838
very_slow,low,neutral,3,150.1550980154554
fast,low,neutral,2,-107.10652606086761
very_slow,low,neutral,2,-136.64588248385388
fast,low,neutral,5,96.89574049545439
fast,low,neutral,3,-661.9831165235894
fast,low,neutral,3,-267.3119767466713
fast,low,neutral,4,-491.0806792494962
very_slow,low,neutral,1,110.98566579444096
fast,low,neutral,2,304.3944778037247
fast,low,neutral,2,153.38164390377165
medium,low,neutral,3,50.04873168780128
very_slow,low,neutral,2,-890.6833353172431
fast,low,neutral,1,375.89043131375945
fast,low,neutral,3,170.53733524910774
fast,low,neutral,4,-52.827930456850325
fast,low,neutral,3,-258.17051457303546
fast,low,neutral,4,-204.40763938295345
fast,low,neutral,4,289.5047491869004
fast,low,neutral,5,608.8862639994996
fast,low,neutral,4,486.0766751403086
fast,low,neutral,5,156.29093594896483
medium,low,neutral,4,-125.98967914261
fast,low,neutral,4,319.6538495339908
fast,low,neutral,1,114.6737843658876
fast,low,neutral,2,-52.6883663496625
fast,low,neutral,5,131.17653355865798
very_slow,low,neutral,5,-633.5231471489238
fast,low,neutral,5,-49.31158087558195
fast,low,neutral,4,-178.47308465830577
fast,low,neutral,2,55.0310249431125
fast,low,neutral,2,-112.97279119448429
very_slow,low,neutral,2,-85.93926445892463
fast,low,neutral,2,132.2010801914421
medium,low,neutral,4,14.960708263828778
fast,low,neutral,3,-770.2501207457483
fast,low,neutral,3,645.0714679339565
fast,low,neutral,2,897.7632406617814
fast,low,neutral,4,-38.92819662092096
fast,low,neutral,2,-767.1822271445345
fast,low,neutral,2,323.34195860953065
fast,low,neutral,2,822.6994247171447
fast,low,neutral,2,191.96415209769333
fast,low,neutral,3,-104.98897296012841
fast,low,neutral,4,-33.4454020750358
very_slow,low,neutral,4,-328.6059453500019
fast,low,neutral,4,-178.432122486641
fast,low,neutral,3,93.43766498754545
fast,low,neutral,2,306.21013039541845
fast,low,neutral,2,-147.3426134373679
fast,low,neutral,1,-234.15319594619137
fast,low,neutral,5,326.7731095332243
fast,low,neutral,1,349.5352307298041
fast,low,neutral,2,-294.5200715001124
fast,low,neutral,3,415.8528391876722
fast,low,neutral,5,669.453540614617
medium,low,neutral,1,115.31725200153453
fast,low,neutral,1,-115.9663202757667
fast,low,neutral,2,82.50239598692892
medium,low,neutral,2,137.53462935033525
fast,low,neutral,2,-60.29985253247129
medium,low,neutral,2,339.45476473839494
medium,low,neutral,1,776.1483006552367
fast,low,neutral,3,-316.38689590834736
fast,low,neutral,2,240.656611498161
fast,low,neutral,3,24.12848243568459
fast,low,neutral,4,-114.57793133317621
fast,low,neutral,3,453.55398045738576
very_slow,low,neutral,3,-895.7188894512886
very_slow,low,neutral,5,-143.92890215594144
very_slow,low,neutral,5,46.61830922042252
fast,low,neutral,2,32.74196349610435
medium,low,neutral,1,304.1933577696902
fast,low,neutral,3,154.4289891197273
medium,low,neutral,1,287.5939018547943
fast,low,neutral,1,375.2731679710181
fast,low,neutral,1,484.064069513532
fast,low,neutral,2,243.5643952759089
fast,low,neutral,4,-456.98256366750564
fast,low,neutral,5,44.93748869416345
medium,low,neutral,3,190.40453945444276
fast,low,neutral,1,-23.839073471422452
fast,low,neutral,2,-476.47282430689137
very_slow,low,neutral,2,1057.3354565354996
medium,low,neutral,2,-79.60021416051701
very_slow,low,neutral,1,-72.56002389277792
medium,low,neutral,3,-177.64859657224952
very_slow,low,neutral,4,84.07586109647175
fast,low,neutral,2,184.79324702766485
fast,low,neutral,1,-117.15712482264713
very_slow,low,neutral,4,-233.93960377567026
fast,low,neutral,2,614.3794787478823
very_slow,low,neutral,2,157.80407659478993
very_slow,low,neutral,3,-238.68289014581563
fast,low,neutral,5,316.925632165044
fast,low,neutral,3,829.1410230537557
fast,low,neutral,4,-257.95472666449825
medium,low,neutral,3,473.95056340630873
medium,low,neutral,3,73.61161419434329
fast,low,neutral,5,270.0145526232605
fast,low,neutral,2,149.45344093351267
fast,low,neutral,1,-17.231348654255456
fast,low,neutral,2,902.9051895482717
fast,low,neutral,2,463.3638210228103
fast,low,neutral,4,621.0114564057069
medium,low,neutral,1,-597.7549181216971
fast,low,neutral,5,-232.93977914868725
fast,low,neutral,4,170.7416988703194
fast,low,neutral,5,457.82542797947434
fast,low,neutral,3,-348.72117518838144
medium,low,neutral,3,161.28998119311677
medium,low,neutral,2,124.66362717617433
fast,low,neutral,5,-355.99342195478897
fast,low,neutral,3,494.37947151519387
fast,low,neutral,1,209.7643429754209
very_slow,low,neutral,1,552.4810188076046
very_slow,low,neutral,3,312.23373340905465
fast,low,neutral,2,251.2992198769453
fast,low,neutral,5,11.179351738519301
fast,low,neutral,5,-11.517584219432209
medium,low,neutral,4,39.877453263258474
fast,low,neutral,4,-607.3301114284782
fast,low,neutral,1,806.3112043781798
fast,low,neutral,3,267.30809664489504
fast,low,neutral,5,621.4880973591022
fast,low,neutral,2,65.2309913597087
fast,low,neutral,3,-107.84307518948061
fast,low,neutral,3,-344.77216949102865
fast,low,neutral,2,-268.56155449292135
fast,low,neutral,4,-155.03388351583777
fast,low,neutral,2,113.12136700117117
medium,low,neutral,1,128.6881679929547
medium,low,neutral,3,-553.0482125749337
fast,low,neutral,4,-67.17409949013525
fast,low,neutral,4,738.2889308004122
very_slow,low,neutral,4,-211.4501819939626
fast,low,neutral,2,-190.298022237532
fast,low,neutral,5,-161.1112163522207
fast,low,neutral,5,64.69313713434511
fast,low,neutral,4,142.4019267009576
fast,low,neutral,5,264.97227715901823
fast,low,neutral,4,-479.5930044688566
medium,low,neutral,4,531.7345352196444
fast,low,neutral,2,360.2069403830819
fast,low,neutral,3,714.4573946610248
fast,low,neutral,5,143.86969871823376
very_slow,low,neutral,1,203.90526807457576
fast,low,neutral,1,204.13715217028033
medium,low,neutral,5,-80.55996122909615
fast,low,neutral,4,80.39030243979087
fast,low,neutral,4,350.84751574054616
fast,low,neutral,5,-225.35041054468684
medium,low,neutral,4,-168.45177280601877
fast,low,neutral,2,-109.21984127813882
fast,low,neutral,4,156.21772913387997
fast,low,neutral,3,282.0518613616942
fast,low,neutral,1,19.45540830155811
fast,low,neutral,1,-21.073600238507495
fast,low,neutral,4,94.49897917867251
medium,low,neutral,3,-793.7811884310886
very_slow,low,neutral,3,440.68521343744356
fast,low,neutral,3,226.96973073994621
fast,low,neutral,3,-57.78776955932726
very_slow,low,neutral,1,179.30171384848285
fast,low,neutral,2,428.23530759857937
fast,low,neutral,4,657.0903659155439
very_slow,low,neutral,5,-3.4340288873266474
fast,low,neutral,1,-9.346684289952464
fast,low,neutral,3,224.30061686331874
fast,low,neutral,2,-91.947658401293
very_slow,low,neutral,3,-175.68138441735897
fast,low,neutral,3,-451.49569350795167
fast,low,neutral,3,-340.56716996636425
fast,low,neutral,3,-179.03151301328091
fast,low,neutral,1,-388.69636256830586
medium,low,neutral,1,-140.08787026569047
fast,low,neutral,2,-538.1990298740377
fast,low,neutral,5,22.563374762917803
very_slow,low,neutral,2,-271.4496828025462
medium,low,neutral,2,-424.69662718726835
fast,low,neutral,2,777.1872789192605
fast,low,neutral,2,257.48601311457566
fast,low,neutral,3,724.8440269275997
fast,low,neutral,5,-34.57103643072209
very_slow,low,neutral,1,-294.677394019326
fast,low,neutral,5,221.42790360925687
fast,low,neutral,5,-136.6183059352848
very_slow,low,neutral,3,215.45055058618607
fast,low,neutral,3,334.20864676256207
fast,low,neutral,2,152.7449047644143
medium,low,neutral,5,-508.868907339769
fast,low,neutral,2,76.41791134555184
fast,low,neutral,2,-14.474047055930015
fast,low,neutral,4,27.71100315270475
fast,low,neutral,5,-155.85320911088274
very_slow,low,neutral,2,-149.93379875575795
fast,low,neutral,1,63.790010050314905
fast,low,neutral,3,587.2807982843292
fast,low,neutral,2,-28.116376552335723
fast,low,neutral,4,-524.1392138419332
fast,low,neutral,4,-813.167889437449
fast,low,neutral,2,145.30734679381163
fast,low,neutral,4,36.191489897747545
fast,low,neutral,4,-232.88304677536655
very_slow,low,neutral,3,712.0781445267733
fast,low,neutral,3,674.601688750829
fast,low,neutral,4,-80.90999623994473
fast,low,neutral,3,621.9327318421851
fast,low,neutral,4,-259.22701956141805
fast,low,neutral,1,116.6305005023821
fast,low,neutral,4,71.53661119308903
medium,low,neutral,4,121.73936146950028
fast,low,neutral,2,-255.49154400673643
fast,low,neutral,2,453.864654399455
fast,low,neutral,5,-188.55741378647303
fast,low,neutral,3,160.0550389502804
fast,low,neutral,4,-181.47903484719188
fast,low,neutral,3,-8.97117506716792
very_slow,low,neutral,1,89.7194691237749
medium,low,neutral,2,205.1010331809381
fast,low,neutral,5,100.05143564747732
fast,low,neutral,4,425.3001778747679
medium,low,neutral,1,202.82130879848836
medium,low,neutral,4,1.066227687782316
fast,low,neutral,3,-611.4939980052667
medium,low,neutral,5,229.5577155596826
fast,low,neutral,2,496.5924413795831
fast,low,neutral,4,928.5340509873176
fast,low,neutral,4,134.96249292668406
medium,low,neutral,2,226.91245817763726
fast,low,neutral,2,127.12646983001245
medium,low,neutral,3,-61.49910521858148
fast,low,neutral,3,-67.5265078677147
medium,low,neutral,5,-86.61740097029987
fast,low,neutral,3,185.83973173046166
fast,low,neutral,1,221.22668145640947
